climate_change_impact_on_agriculture_2024;;;;;;;;;;
Year;Country;Region;Crop_Type;Average_Temperature_C;Total_Precipitation_mm;CO2_Emissions_MT;Crop_Yield_MT_per_HA;Extreme_Weather_Events;Irrigation_Access_%;Soil_Health_Index
2024;China;North;Corn;Mar.23;2913.57;29.82;17.369.999.999.999.900;8;11.May;54.02
2018;Nigeria;North West;Barley;21.23;475.32;25.74;765;1;25.74;84.21
2018;Brazil;North;Barley;20.83;2639.04;6.Oca;Mar.64;10;52.71;88.14
2020;Australia;Western Australia;Sugarcane;17.77;1743.11;13.69;Oca.69;2;23.95;42.34
2024;USA;South;Wheat;Ara.18;1647.58;19.Oca;1.872;8;36.61;52.18
2022;China;South;Barley;Haz.49;2719.06;23.76;873;10;40.98;76.68
2014;Russia;Central;Rice;29.17;1405.59;Ağu.17;Oca.81;6;32.18;75.47
2024;Brazil;Southeast;Rice;-0.91;916.1;Ara.26;0.56;1;31.21;78.33
2016;Brazil;Northeast;Soybeans;32.37;1103.04;22.53;14.040.000.000.000.000;1;66.03;56.97
2022;China;South;Wheat;-0.34;2967.32;16.84;1.557;0;81.07;64.16
2016;Nigeria;South East;Barley;15.75;2128.68;20.97;3.483;1;79.63;62.68
2018;Nigeria;South East;Soybeans;Nis.57;494.92;16.Ağu;2.043;6;75.74;77.74
2014;Australia;Queensland;Rice;Eyl.68;2510.94;25.0;19.080.000.000.000.000;8;49.68;81.83
2016;Australia;Queensland;Rice;24.16;1676.06;23.13;13.860.000.000.000.000;10;88.89;58.99
2014;Nigeria;North West;Barley;-2.66;2392.65;Haz.35;1.Mar;2;15.36;58.38
2016;Nigeria;North Central;Corn;Eki.21;1705.08;Tem.53;Nis.64;1;62.81;39.89
2022;Brazil;North;Barley;17.Eyl;2948.08;17.69;29.339.999.999.999.900;2;51.74;32.34
2014;Australia;Western Australia;Barley;Kas.97;925.85;18.Mar;4.104;3;57.32;30.69
2018;China;South;Soybeans;-3.26;2404.68;28.73;657;0;92.93;94.5
2014;Nigeria;South East;Fruits;27.59;1314.12;25.65;11.520.000.000.000.000;4;66.76;65.8
2014;Australia;Queensland;Corn;16.Şub;2682.47;Mar.88;Mar.98;6;74.93;78.83
2024;China;Central;Rice;34.18;2247.4;27.31;Mar.33;7;21.Tem;69.96
2016;Russia;Siberian;Fruits;27.23;481.89;Şub.87;2.403;10;79.43;34.15
2018;USA;Northeast;Barley;26.81;1496.37;24.25;12.240.000.000.000.000;2;47.67;54.11
2022;Nigeria;North Central;Rice;22.94;658.01;17.28;2.547;5;88.58;67.19
2016;Nigeria;South West;Coffee;1.Mar;884.03;Haz.75;1.Nis;0;87.34;99.45
2022;Australia;Queensland;Barley;31.16;998.03;21.35;1.305;3;86.93;42.06
2014;Nigeria;South West;Barley;28.Tem;1342.69;Oca.94;0.84;5;95.15;48.67
2018;Nigeria;North West;Barley;17.25;2237.11;Tem.82;Mar.81;0;29.Nis;31.13
2014;Nigeria;South East;Soybeans;Eyl.78;2308.31;28.63;1.755;0;99.05;64.62
2024;USA;Northeast;Coffee;5.Kas;974.91;14.66;Oca.54;0;14.41;39.63
2016;Brazil;North;Wheat;Ara.62;2892.79;21.43;2.394;5;54.46;65.05
2024;Nigeria;South East;Coffee;28.Ağu;966.11;6.May;Oca.13;2;76.96;53.95
2018;Nigeria;North West;Cotton;25.86;2566.62;11.Haz;0.86;7;30.32;68.53
2024;USA;Midwest;Wheat;Ağu.23;1855.61;Kas.92;2.Eyl;7;72.26;82.6
2022;Brazil;Northeast;Barley;Ara.13;1417.15;26.27;2.718;10;54.98;34.58
2016;Nigeria;South East;Rice;30.51;731.17;22.29;873;8;44.38;33.23
2018;Brazil;Northeast;Coffee;33.21;1670.4;29.62;2.007;4;52.3;37.69
2016;China;East;Vegetables;32.18;658.12;May.14;3.Nis;4;49.87;98.69
2014;China;North;Wheat;Nis.52;2955.14;Haz.26;0.87;4;27.88;66.79
2022;Nigeria;South West;Coffee;-2.81;2656.82;Kas.71;0.79;1;50.58;97.68
2022;Russia;Central;Rice;-4.56;1574.67;24.44;1.341;5;33.21;92.26
2024;Brazil;South;Rice;20.92;599.62;19.83;2.727;9;52.75;32.31
2020;Russia;Volga;Rice;-0.52;811.78;0.74;Şub.64;7;59.42;40.57
2022;Russia;Siberian;Vegetables;28.95;2435.42;28.19;1.449;7;15.27;62.44
2022;Australia;New South Wales;Wheat;13.62;2332.71;Oca.33;Oca.84;6;54.88;44.65
2024;Nigeria;South East;Barley;13.41;2595.59;Nis.32;Mar.33;1;98.12;35.46
2018;Nigeria;South East;Wheat;25.19;2636.93;17.66;17.189.999.999.999.900;10;26.Ara;36.89
2024;China;North;Vegetables;-3.81;790.4;23.82;1.575;4;78.21;32.34
2016;Russia;Volga;Cotton;Kas.87;875.46;29.94;19.800.000.000.000.000;6;74.34;72.94
2016;Brazil;North;Coffee;Kas.62;831.46;Eyl.47;Mar.93;0;55.3;56.56
2014;China;Central;Cotton;Oca.36;2090.77;Şub.93;1.0;8;38.22;50.96
2014;Brazil;Northeast;Soybeans;29.22;267.79;21.Ara;11.880.000.000.000.000;5;19.43;39.76
2022;USA;Northeast;Vegetables;34.16;245.45;Tem.46;1.584;8;93.99;71.5
2016;Brazil;Northeast;Soybeans;-4.0;1786.46;3.0;0.86;5;Kas.75;55.99
2020;Australia;Queensland;Soybeans;Kas.71;367.7;27.0;4.149;9;75.25;93.47
2024;Australia;Western Australia;Wheat;-1.42;2607.31;24.61;0.8190000000000001;10;53.64;69.96
2016;USA;South;Barley;32.52;1602.68;Haz.28;Şub.82;8;77.01;89.28
2016;Nigeria;North Central;Sugarcane;25.99;1371.02;9.Mar;Mar.57;8;99.17;53.02
2022;Australia;Queensland;Coffee;Eyl.96;1275.17;26.47;1.026;9;84.61;43.71
2020;Australia;New South Wales;Fruits;-0.33;2330.99;18.23;936;5;81.05;90.85
2018;Nigeria;South West;Vegetables;20.82;2691.5;27.Tem;2.385;4;31.34;83.63
2022;USA;West;Rice;24.96;1288.54;23.97;1.Ağu;5;25.89;35.73
2024;USA;Midwest;Cotton;Ağu.94;1150.19;Tem.48;2.Oca;9;34.13;38.38
2016;USA;South;Corn;24.84;1494.64;Eyl.98;Şub.88;2;39.58;67.76
2014;China;Central;Sugarcane;Mar.75;1682.38;23.95;1.233;8;33.73;82.35
2022;Brazil;South;Rice;Tem.47;1471.88;13.33;0.9;9;54.32;57.19
2024;Brazil;Northeast;Wheat;15.74;486.86;Nis.57;3.744;2;91.59;71.37
2014;Brazil;Southeast;Soybeans;Ağu.31;317.45;25.21;1.431;3;55.45;44.69
2014;Australia;Victoria;Wheat;10.May;1001.36;24.Şub;13.860.000.000.000.000;4;43.88;80.16
2022;Nigeria;South East;Soybeans;17.Tem;1240.11;13.78;Nis.32;7;86.69;59.28
2016;China;South;Cotton;27.Ağu;2616.43;Haz.98;Oca.84;10;96.21;84.09
2016;China;Central;Cotton;Oca.15;900.72;Nis.74;0.68;8;15.38;57.03
2018;USA;South;Cotton;Oca.25;1923.38;29.92;936;9;Eki.17;46.25
2014;Australia;New South Wales;Vegetables;28.Tem;2101.18;13.35;2.Şub;9;73.06;64.78
2014;Brazil;North;Vegetables;Kas.53;1399.96;Şub.38;Mar.56;10;79.9;67.89
2024;USA;Northeast;Vegetables;22.63;1078.54;17.56;2.952;2;14.95;49.96
2020;Brazil;Northeast;Barley;Nis.77;377.32;23.24;11.520.000.000.000.000;5;26.38;99.87
2022;Nigeria;South West;Cotton;19.Haz;982.35;24.78;4.068;1;44.15;88.14
2020;China;Central;Fruits;0.75;2063.83;20.Tem;1.764;10;Kas.54;80.76
2016;Australia;New South Wales;Wheat;25.68;2988.68;Oca.79;0.92;7;97.75;86.43
2022;USA;South;Wheat;22.59;454.66;17.28;3.375;9;17.19;42.02
2016;USA;Northeast;Soybeans;Ara.56;542.18;28.83;39.330.000.000.000.000;1;38.02;96.73
2020;USA;Midwest;Rice;28.96;2113.45;11.Tem;Mar.98;7;92.26;45.8
2018;Nigeria;South East;Sugarcane;9.Şub;1345.87;22.83;24.480.000.000.000.000;6;75.85;93.75
2016;Brazil;North;Vegetables;23.35;518.94;15.Şub;2.826;0;68.39;51.51
2024;Nigeria;North Central;Rice;31.92;1150.89;Kas.25;Oca.29;3;54.95;50.93
2014;Nigeria;South East;Sugarcane;Oca.52;1280.41;16.92;Şub.43;10;25.94;47.27
2018;Brazil;South;Vegetables;28.59;2579.43;May.59;Şub.75;8;31.89;48.39
2014;Brazil;North;Rice;29.23;669.87;28.96;1.026;10;10.Haz;74.9
2014;Australia;Queensland;Rice;13.17;2380.74;22.Mar;4.455;1;22.24;39.68
2024;Nigeria;North Central;Wheat;Oca.92;2577.95;11.Mar;Oca.77;5;25.33;39.26
2018;China;East;Sugarcane;26.74;1761.86;20.13;1.566;6;33.9;84.87
2024;China;Central;Coffee;Tem.47;602.94;16.99;2.Tem;6;18.43;83.89
2016;Australia;New South Wales;Sugarcane;-0.75;442.41;13.81;1.683;7;21.37;35.76
2016;Brazil;Southeast;Coffee;28.24;2593.9;23.88;29.339.999.999.999.900;8;45.6;52.67
2018;Nigeria;South West;Sugarcane;-1.22;644.93;Tem.64;Şub.56;4;28.36;83.39
2022;USA;Northeast;Soybeans;11.Ağu;311.46;26.64;2.898;10;89.29;74.98
2014;Australia;Western Australia;Soybeans;Tem.15;907.91;29.77;2.511;5;15.95;98.19
2016;Russia;Volga;Wheat;25.46;2474.02;May.46;Oca.91;5;38.95;68.21
2016;Australia;Queensland;Rice;17.25;2045.5;5.Ağu;Mar.83;2;85.66;86.16
2022;Australia;New South Wales;Corn;16.Şub;2806.85;Haz.35;3.May;9;43.43;77.4
2024;USA;West;Barley;33.15;2718.34;26.Eyl;1.512;3;32.51;54.72
2018;Nigeria;South West;Soybeans;16.67;1248.54;Nis.59;Oca.97;4;14.29;40.96
2014;Russia;Central;Vegetables;Şub.87;1547.39;Eyl.77;Şub.42;9;79.77;99.74
