Year;Country;Region;Crop_Type;Average_Temperature_C;Total_Precipitation_mm;CO2_Emissions_MT;Crop_Yield_MT_per_HA;Extreme_Weather_Events;Irrigation_Access_%;Pesticide_Use_KG_per_HA;Fertilizer_Use_KG_per_HA;Soil_Health_Index;Adaptation_Strategies;Economic_Impact_Million_USD
2024;China;North;Corn;3.23;2913.57;29.82;1.7369999999999999;8;11.05;33.06;23.25;54.02;Crop Rotation;616.22
2018;Nigeria;North West;Barley;21.23;475.32;25.74;765;1;25.74;44.38;72.92;84.21;No Adaptation;167.21
2018;Brazil;North;Barley;20.83;2639.04;6.01;3.64;10;52.71;28.15;61.34;88.14;Drought-resistant Crops;521.59
2020;Australia;Western Australia;Sugarcane;17.77;1743.11;13.69;1.69;2;23.95;39.15;67.61;42.34;Water Management;440.49
2024;USA;South;Wheat;12.18;1647.58;19.1;1.872;8;36.61;43.15;22.46;52.18;Water Management;925.79
2022;China;South;Barley;6.49;2719.06;23.76;873;10;40.98;38.94;77.96;76.68;Organic Farming;118.24
2014;Russia;Central;Rice;29.17;1405.59;8.17;1.81;6;32.18;43.7;32.04;75.47;No Adaptation;657.55
2024;Brazil;Southeast;Rice;-0.91;916.1;12.26;0.56;1;31.21;16.7;70.48;78.33;Water Management;146.4
2016;Brazil;Northeast;Soybeans;32.37;1103.04;22.53;1.4040000000000001;1;66.03;7.04;47.21;56.97;Water Management;366.94
2022;China;South;Wheat;-0.34;2967.32;16.84;1.557;0;81.07;44.5;92.19;64.16;Drought-resistant Crops;269.52
2016;Nigeria;South East;Barley;15.75;2128.68;20.97;3.483;1;79.63;37.27;16.96;62.68;Water Management;1310.99
2018;Nigeria;South East;Soybeans;4.57;494.92;16.8;2.043;6;75.74;39.31;45.94;77.74;Crop Rotation;397.3
2014;Australia;Queensland;Rice;9.68;2510.94;25.0;1.9080000000000001;8;49.68;31.24;30.4;81.83;Water Management;393.55
2016;Australia;Queensland;Rice;24.16;1676.06;23.13;1.3860000000000001;10;88.89;43.03;69.48;58.99;Organic Farming;646.38
2014;Nigeria;North West;Barley;-2.66;2392.65;6.35;1.3;2;15.36;15.75;27.71;58.38;Organic Farming;526.14
2016;Nigeria;North Central;Corn;10.21;1705.08;7.53;4.64;1;62.81;24.76;37.48;39.89;Drought-resistant Crops;2145.28
2022;Brazil;North;Barley;17.9;2948.08;17.69;2.9339999999999997;2;51.74;6.4;26.94;32.34;Water Management;1142.6
